City,Month,MaxTemp,MiinTemp,MeanTemp,Precipitation,PrecipCover,FloodRisk,Year
Isolo,2,34,25,28.6,0.1,4.17,0,2018
Isolo,3,34,25.8,28.9,0,0,0,2018
Isolo,4,34,25.8,28.8,0.3,12.5,0,2018
Isolo,5,33.1,26,29.3,0.3,12.5,0,2018
Isolo,6,34,26,29.1,0,0,0,2018
Isolo,7,34,27,29.5,0,0,0,2018
Isolo,8,35,26.8,29.7,0,0,0,2018
Isolo,9,35,26,29.7,0.2,8.33,0,2018
Isolo,10,34.2,26.8,29.6,0,0,0,2018
Isolo,11,34,26.9,29.4,0,0,0,2018
Isolo,12,35,26,29.7,0.2,4.17,0,2018
Ogba,1,35,26.7,29.2,0,0,0,2018
Ogba,2,35,25,29.1,0,0,0,2018
Ogba,3,35,26.1,29.3,0.2,8.33,0,2018
Ogba,4,34,27,29.4,0.1,4.17,0,2018
Ogba,5,33,26.9,28.8,0.4,12.5,1,2018
Ogba,6,32,27,28.7,0,0,0,2018
Ogba,7,34,24,28.6,0,0,0,2018
Ogba,8,33,24,27.3,0,0,0,2018
Ogba,9,34.1,27.1,29.8,0.9,37.5,1,2018
Ogba,10,35,27,29.9,0,0,0,2018
Ogba,11,33,27,29.1,0,0,0,2018
Ogba,12,35,28,29.2,0.6,25,1,2018
Yaba,1,32,24,28.6,0,0,0,2019
Yaba,2,33,25.8,28.7,0,0,0,2019
Yaba,3,33,27,29.2,0,0,0,2019
Yaba,4,32,27,29.4,0,0,0,2019
Yaba,5,33,27,29.3,0,0,0,2019
Yaba,6,33,27,29.5,0,0,0,2019
Yaba,7,32,26,28.3,0.3,12.5,0,2019
Yaba,8,33,27,28.5,3.5,54.17,1,2019
Yaba,9,33,27.6,29.3,1.6,54.17,1,2019
Yaba,10,32,22,27.3,19,4.17,1,2019
Yaba,11,31,24,27.6,0.3,4.17,0,2019
Yaba,12,30,23,26.3,0,0,0,2019
Ebutemetta,1,32,24,27.8,0,0,0,2019
Ebutemetta,2,33,24.9,28.9,0,0,0,2019
Ebutemetta,3,33,25.2,28.4,0,0,0,2019
Ebutemetta,4,33,26.1,29.3,0,0,0,2019
Ebutemetta,5,31.2,26.8,28,0,0,0,2019
Ebutemetta,6,33,25,28.6,0,0,0,2019
Ebutemetta,7,33,25.1,29.2,0,0,0,2019
Ebutemetta,8,34,27,29.8,0.2,4.17,0,2019
Ebutemetta,9,33,27,29.5,0.1,4.17,0,2019
Ebutemetta,10,28.7,23,26.6,8,4.17,0,2019
Ebutemetta,11,31.2,24.1,28,0,0,0,2019
Ebutemetta,12,33,25.8,29,0,0,0,2019
Ikoyi,1,33,26,29.1,0,0,0,2019
Ikoyi,2,34,27,29.7,0,0,0,2019
Ikoyi,3,31,25.9,27.7,1,4.17,0,2019
Ikoyi,4,33,24.8,28,0,0,0,2019
Ikoyi,5,33,25,28.5,0,0,0,2019
Ikoyi,6,33,25.8,28.9,0,0,0,2019
Ikoyi,7,34,26.8,29.8,0,0,0,2019
Ikoyi,8,33,27,29.2,0,0,0,2019
Ikoyi,9,34,26,29.3,0.5,4.17,0,2019
Ikoyi,10,35,26.8,30,0.1,4.17,0,2019
Ikoyi,11,32.1,23,27.5,3,4.17,0,2019
Ikoyi,12,31,22.8,26.5,16,4.17,0,2019
Isolo,1,31,25.8,28,1,41.67,1,2019
Isolo,2,32.1,25,28.8,0.1,4.17,0,2019
Isolo,3,33.1,25,28.8,0.2,4.17,0,2019
Isolo,4,29,22,26.4,26,4.17,1,2019
Isolo,5,32,24,27.5,0,0,0,2019
Isolo,6,31,26,27.5,0,0,0,2019
Isolo,7,29,25,26.8,0,0,0,2019
Isolo,8,31.8,24.8,26.7,5,4.17,0,2019
Isolo,9,31,23.1,26.9,50,4.17,1,2019
Isolo,10,33,25.1,28.6,0,0,0,2019
Isolo,11,33,25,28.6,0,0,0,2019
Isolo,12,31.1,26.8,28.5,0,0,0,2019
Ogba,1,29,23,26.8,25,8.33,1,2019
Ogba,2,31.2,24,27.3,0.2,4.17,0,2019
Ogba,3,34,23.8,28.2,0,0,0,2019
Ogba,4,32,27,29,0,0,0,2019
Ogba,5,32.1,26,28.6,0.4,4.17,0,2019
Ogba,6,31,23,27.2,35,4.17,1,2019
Ogba,7,32,23,27.4,0,0,0,2019
Ogba,8,33,26,28.9,0,0,0,2019
Ogba,9,30,22,26.2,41,4.17,1,2019
Ogba,10,32,24.8,27.6,0,0,0,2019
Ogba,11,31,25,26.9,4,4.17,0,2019
Ogba,12,30.9,25,28,13,4.17,1,2019
Yaba,1,29,25,26.3,5,4.17,0,2020
Yaba,2,30,24,26.8,0.9,37.5,1,2020
Yaba,3,30,25,27.3,13,8.33,1,2020
Yaba,4,32,24.8,28.1,0.2,8.33,0,2020
Yaba,5,29.2,22,26.4,13,8.33,1,2020
Yaba,6,31.2,25,27.5,0,0,0,2020
Yaba,7,32,25.8,28.4,0.2,8.33,0,2020
Yaba,8,32,25,28.4,0,0,0,2020
Yaba,9,32,25,27.8,3,4.17,0,2020
Yaba,10,33,25,27.7,0.1,4.17,0,2020
Yaba,11,28,25,26.3,0,0,0,2020
Yaba,12,27.9,27,27.4,0,0,0,2020
Ebutemetta,1,28,24,26.3,0,0,0,2020
Ebutemetta,2,31,23,27,0,0,0,2020
Ebutemetta,3,29.8,23,26.7,0,0,0,2020
Ebutemetta,4,27,23,25,26,4.17,1,2020
Ebutemetta,5,29.1,23,26.1,2,4.17,0,2020
Ebutemetta,6,25,23,24.5,40,8.33,1,2020
Ebutemetta,7,31,23.8,26.6,0,0,0,2020
Ebutemetta,8,30,23.8,26.4,0,0,0,2020
Ebutemetta,9,28,24,26,45,12.5,1,2020
Ebutemetta,10,25,22,23.8,56,12.5,1,2020
Ebutemetta,11,31,22,26.2,0,0,0,2020
Ebutemetta,12,30,22,25.8,0,0,0,2020
Ikoyi,1,29,22.8,25.6,37,8.33,0,2020
Ikoyi,2,28,23,24.5,22,8.33,0,2020
Ikoyi,3,31,22,25.9,0,0,0,2020
Ikoyi,4,30,24.8,27,221,4.17,1,2020
Ikoyi,5,31,24.9,27.6,0.3,4.17,0,2020
Ikoyi,6,31,23,27,0.4,4.17,0,2020
Ikoyi,7,31,22.9,26.4,0.9,4.17,0,2020
Ikoyi,8,26.1,24,25.1,19,8.33,0,2020
Ikoyi,9,29,23.9,25.6,2,4.17,0,2020
Ikoyi,10,28,23,25.2,61,8.33,1,2020
Ikoyi,11,30,24,26.4,0,0,0,2020
Ikoyi,12,31,24.9,27.2,0,0,0,2020
Isolo,1,30.8,25,27.3,0,0,0,2020
Isolo,2,27,22.9,24.9,71,8.33,1,2020
Isolo,3,30,23,25.6,59,8.33,1,2020
Isolo,4,30.1,24,26.1,13,4.17,0,2020
Isolo,5,27.1,23.8,25.6,6,4.17,0,2020
Isolo,6,26,24,25,18,4.17,0,2020
Isolo,7,27,23.7,25.1,5,4.17,0,2020
Isolo,8,29,24,25.9,0,0,0,2020
Isolo,9,27.8,23,25.5,0,0,0,2020
Isolo,10,29.1,24.8,26.1,0.1,4.17,0,2020
Isolo,11,30,23.9,26.3,0.1,4.17,0,2020
Isolo,12,28.6,24.8,25.8,1,4.17,0,2020
Ogba,1,26,24.8,25.4,1,4.17,0,2020
Ogba,2,28,25.2,25.5,0,0,0,2020
Ogba,3,28,24.5,25.6,0,0,0,2020
Ogba,4,26,25,25.6,0.7,29.17,1,2020
Ogba,5,26.4,24,25.5,0,0,0,2020
Ogba,6,29.9,24.1,26.4,0,0,0,2020
Ogba,7,31,23.2,27.3,0,0,0,2020
Ogba,8,27,23,25,14.8,29.17,1,2020
Ogba,9,30,23.6,26.7,0.8,33.33,0,2020
Ogba,10,31,24,26.6,0,0,0,2020
Ogba,11,30,22,26,1,4.17,0,2020
Ogba,12,29.1,22,25.5,0,0,0,2020
Yaba,1,33,23.1,27.9,0.9,37.5,1,2021
Yaba,2,33.4,25.8,28.3,0.7,29.17,1,2021
Yaba,3,34,25.7,29.2,1,33.33,1,2021
Yaba,4,33.6,22,28.3,0.4,16.67,0,2021
Yaba,5,34.1,24.6,28.7,0.9,33.33,1,2021
Yaba,6,34.1,24,29.1,0.5,20.83,0,2021
Yaba,7,31,26.6,28.2,17,4.17,0,2021
Yaba,8,34,25.9,29.1,0.7,25,1,2021
Yaba,9,34.6,26.4,29.6,0.7,29.17,1,2021
Yaba,10,35,26.9,29.8,1,4.17,0,2021
Yaba,11,33,27,29.1,0.5,20.83,0,2021
Yaba,12,33.4,26.1,29,6,4.17,0,2021
Ebutemetta,1,30.6,26.9,28.2,0.7,20.83,1,2021
Ebutemetta,2,35.1,27.2,28.6,0.7,29.17,1,2021
Ebutemetta,3,34,23.7,28.5,0,0,0,2021
Ebutemetta,4,35,24,28.8,0,0,0,2021
Ebutemetta,5,34,24,28.9,0,0,0,2021
Ebutemetta,6,33.1,26.7,28.7,0,0,0,2021
Ebutemetta,7,34,27.7,29.7,0,0,0,2021
Ebutemetta,8,33,24,29.1,0.1,4.17,0,2021
Ebutemetta,9,30.6,27,28.8,2,4.17,0,2021
Ebutemetta,10,34.1,25.1,29,0,0,0,2021
Ebutemetta,11,30.2,25.8,28.1,0,0,0,2021
Ebutemetta,12,35.4,27.7,29.8,0.6,25,1,2021
Ikoyi,1,33,26.6,29,1.1,29.17,1,2021
Ikoyi,2,33.6,14.5,26.8,1.6,50,1,2021
Ikoyi,3,34.7,17,27.6,2,4.17,0,2021
Ikoyi,4,32.7,16,27,0.1,4.17,0,2021
Ikoyi,5,35,19.5,28.8,0.6,25,1,2021
Ikoyi,6,30.4,23,27.6,8,4.17,0,2021
Ikoyi,7,36.8,25,27.3,4,4.17,0,2021
Ikoyi,8,33.9,24.6,28.6,2,4.17,0,2021
Ikoyi,9,33.4,26.2,29.4,0.2,8.33,0,2021
Ikoyi,10,29,25,27.4,1.3,25,1,2021
Ikoyi,11,28,24,26.3,0.1,4.17,0,2021
Ikoyi,12,30,23,26.8,2,4.17,0,2021
Isolo,1,33.2,25.6,28.9,0,0,0,2021
Isolo,2,32.7,25,28.8,0,0,0,2021
Isolo,3,33,25,28.3,4,4.17,0,2021
Isolo,4,31.7,22,25.8,2,4.17,0,2021
Isolo,5,29,22,26.8,16,4.17,0,2021
Isolo,6,31.1,27.4,28.8,0.1,4.17,0,2021
Isolo,7,34,24.1,29.1,0,0,0,2021
Isolo,8,34,26,29.5,0.1,4.17,0,2021
Isolo,9,33,24,28.2,19,4.17,1,2021
Isolo,10,35,24.1,29.4,7,4.17,0,2021
Isolo,11,34,25,29.2,0.9,16.67,1,2021
Isolo,12,34,25.9,29.7,0.1,4.17,0,2021
Ogba,1,27.8,22.9,25.3,49,4.17,1,2021
Ogba,2,33,24.9,28.7,0.1,4.17,0,2021
Ogba,3,33.2,26,29.4,0.8,8.33,0,2021
Ogba,4,32.9,27,28.9,0.5,20.83,1,2021
Ogba,5,33.8,26.1,29.6,0.3,4.17,0,2021
Ogba,6,33,26,29.1,0,0,0,2021
Ogba,7,33.1,26,29,0,0,0,2021
Ogba,8,33,24.1,27.7,1,4.17,0,2021
Ogba,9,31,25,27.4,0.4,4.17,0,2021
Ogba,10,29,23.1,26.2,36,4.17,1,2021
Ogba,11,31,22,25.7,4,4.17,0,2021
Ogba,12,32,24,27.4,0.1,4.17,0,2021
